Team,Player A,Player B,Correlation,Total Points A,Total Points B,pair_id,Correlation_2023,Total Points A_2023,Total Points B_2023
STL,Alexey Toropchenko,Robert Thomas,0.8,6,4,Alexey Toropchenko-Robert Thomas,0.08,86.0,21.0
STL,Nathan Walker,Robert Thomas,0.8,6,4,Nathan Walker-Robert Thomas,-0.23,86.0,13.0
NYI,Adam Pelech,Scott Mayfield,0.8,3,4,Adam Pelech-Scott Mayfield,0.01,5.0,16.0
CGY,Connor Zary,Jake Bean,0.8,8,3,Connor Zary-Jake Bean,,,
CHI,Seth Jones,Wyatt Kaiser,0.8,10,1,Seth Jones-Wyatt Kaiser,,,
LAK,Andreas Englund,Vladislav Gavrikov,0.8,1,8,Andreas Englund-Vladislav Gavrikov,0.07,10.0,23.0
PHI,Anthony Richard,Egor Zamula,0.79,6,6,Anthony Richard-Egor Zamula,,,
WSH,Aliaksei Protas,Matt Roy,0.79,15,2,Aliaksei Protas-Matt Roy,,,
OTT,Jake Sanderson,Shane Pinto,0.79,3,10,Jake Sanderson-Shane Pinto,-0.0,38.0,27.0
ANA,Brian Dumoulin,Leo Carlsson,0.79,9,5,Brian Dumoulin-Leo Carlsson,,,
WSH,Jakob Chychrun,Tom Wilson,0.79,13,7,Jakob Chychrun-Tom Wilson,,,
BOS,Brandon Carlo,Mark Kastelic,0.79,7,3,Brandon Carlo-Mark Kastelic,,,
PHI,Rasmus Ristolainen,Sean Couturier,0.78,9,3,Rasmus Ristolainen-Sean Couturier,-0.08,38.0,4.0
CBJ,Mathieu Olivier,Zach Werenski,0.78,7,13,Mathieu Olivier-Zach Werenski,0.21,12.0,57.0
TOR,Max Pacioretty,Oliver Ekman-Larsson,0.78,6,7,Max Pacioretty-Oliver Ekman-Larsson,,,
WPG,Adam Lowry,Mason Appleton,0.78,12,10,Adam Lowry-Mason Appleton,0.56,36.0,35.0
SEA,Chandler Stephenson,Jamie Oleksiak,0.78,10,5,Chandler Stephenson-Jamie Oleksiak,,,
BUF,Jack Quinn,Zach Benson,0.78,4,5,Jack Quinn-Zach Benson,0.43,30.0,19.0
BOS,John Beecher,Mark Kastelic,0.78,6,7,John Beecher-Mark Kastelic,,,
NYI,Oliver Wahlstrom,Scott Mayfield,0.78,2,3,Oliver Wahlstrom-Scott Mayfield,0.43,6.0,5.0
WPG,Dylan DeMelo,Logan Stanley,0.77,3,3,Dylan DeMelo-Logan Stanley,0.01,31.0,2.0
STL,Colton Parayko,Ryan Suter,0.77,11,4,Colton Parayko-Ryan Suter,,,
MIN,Jake Middleton,Joel Eriksson Ek,0.77,8,9,Jake Middleton-Joel Eriksson Ek,0.12,25.0,64.0
CGY,Andrei Kuzmenko,Jonathan Huberdeau,0.77,10,9,Andrei Kuzmenko-Jonathan Huberdeau,0.18,52.0,46.0
UTA,Alexander Kerfoot,Maveric Lamoureux,0.76,5,2,Alexander Kerfoot-Maveric Lamoureux,,,
EDM,Connor McDavid,Leon Draisaitl,0.76,24,21,Connor McDavid-Leon Draisaitl,0.42,106.0,132.0
DAL,Evgenii Dadonov,Oskar Bäck,0.76,3,7,Evgenii Dadonov-Oskar Bäck,,,
STL,Jordan Kyrou,Justin Faulk,0.76,15,5,Jordan Kyrou-Justin Faulk,0.11,67.0,30.0
WSH,Aliaksei Protas,Taylor Raddysh,0.76,15,7,Aliaksei Protas-Taylor Raddysh,,,
CHI,Connor Bedard,TJ Brodie,0.76,13,2,Connor Bedard-TJ Brodie,,,
OTT,Josh Norris,Thomas Chabot,0.76,12,11,Josh Norris-Thomas Chabot,0.26,30.0,30.0
SEA,Brandon Montour,Jaden Schwartz,0.76,10,11,Brandon Montour-Jaden Schwartz,,,
CGY,Jake Bean,Martin Pospisil,0.76,5,3,Jake Bean-Martin Pospisil,,,
ANA,Isac Lundestrom,Jackson LaCombe,0.76,3,3,Isac Lundestrom-Jackson LaCombe,0.04,11.0,17.0
VGK,Ivan Barbashev,Victor Olofsson,0.76,17,3,Ivan Barbashev-Victor Olofsson,,,
PIT,Bryan Rust,Sidney Crosby,0.76,19,7,Bryan Rust-Sidney Crosby,0.32,94.0,56.0
PHI,Nick Seeler,Noah Cates,0.76,2,5,Nick Seeler-Noah Cates,-0.07,18.0,13.0
UTA,Barrett Hayton,Nick Schmaltz,0.75,8,12,Barrett Hayton-Nick Schmaltz,,,
DET,Michael Rasmussen,Simon Edvinsson,0.75,4,6,Michael Rasmussen-Simon Edvinsson,-0.18,33.0,2.0
CGY,Kevin Rooney,Mikael Backlund,0.75,9,1,Kevin Rooney-Mikael Backlund,0.04,39.0,4.0
VAN,Danton Heinen,Kiefer Sherwood,0.75,8,8,Danton Heinen-Kiefer Sherwood,,,
NYI,Anders Lee,Jean-Gabriel Pageau,0.75,13,9,Anders Lee-Jean-Gabriel Pageau,0.16,37.0,33.0
SJS,Fabian Zetterlund,Jake Walman,0.75,13,10,Fabian Zetterlund-Jake Walman,,,
EDM,Connor Brown,Ty Emberson,0.75,5,1,Connor Brown-Ty Emberson,,,
EDM,Derek Ryan,Zach Hyman,0.75,8,1,Derek Ryan-Zach Hyman,-0.2,77.0,12.0
EDM,Connor Brown,Derek Ryan,0.75,5,1,Connor Brown-Derek Ryan,,,
EDM,Connor Brown,Mattias Janmark,0.75,5,8,Connor Brown-Mattias Janmark,,,
