Team,Player A,Player B,Correlation,Total Points A,Total Points B,pair_id,Correlation_2023,Total Points A_2023,Total Points B_2023
EDM,Brett Kulak,Troy Stecher,,7,0,Brett Kulak-Troy Stecher,,,
EDM,Darnell Nurse,Troy Stecher,,9,0,Darnell Nurse-Troy Stecher,,,
MTL,Josh Anderson,Michael Pezzetta,,9,0,Josh Anderson-Michael Pezzetta,-0.12,20.0,12.0
MTL,Joel Armia,Michael Pezzetta,,8,0,Joel Armia-Michael Pezzetta,-0.16,25.0,12.0
MTL,Cole Caufield,Michael Pezzetta,,15,0,Cole Caufield-Michael Pezzetta,-0.12,65.0,12.0
MTL,Lucas Condotta,Michael Pezzetta,,1,0,Lucas Condotta-Michael Pezzetta,,,
MTL,Justin Barron,Lucas Condotta,,1,1,Justin Barron-Lucas Condotta,,,
MTL,David Savard,Lucas Condotta,,1,4,David Savard-Lucas Condotta,,,
MTL,Kirby Dach,Michael Pezzetta,,8,0,Kirby Dach-Michael Pezzetta,,2.0,12.0
MTL,Christian Dvorak,Michael Pezzetta,,7,0,Christian Dvorak-Michael Pezzetta,-0.02,9.0,12.0
MTL,Jake Evans,Michael Pezzetta,,8,0,Jake Evans-Michael Pezzetta,0.03,28.0,12.0
MTL,Brendan Gallagher,Michael Pezzetta,,9,0,Brendan Gallagher-Michael Pezzetta,-0.18,31.0,12.0
MTL,Emil Heineman,Michael Pezzetta,,5,0,Emil Heineman-Michael Pezzetta,,,
MTL,Alex Newhook,Michael Pezzetta,,4,0,Alex Newhook-Michael Pezzetta,0.29,34.0,12.0
MTL,Juraj Slafkovsky,Michael Pezzetta,,0,11,Juraj Slafkovsky-Michael Pezzetta,-0.1,12.0,50.0
MTL,Michael Pezzetta,Nick Suzuki,,0,18,Michael Pezzetta-Nick Suzuki,0.09,12.0,77.0
MTL,Justin Barron,Michael Pezzetta,,0,1,Justin Barron-Michael Pezzetta,,,
MTL,Kaiden Guhle,Michael Pezzetta,,0,5,Kaiden Guhle-Michael Pezzetta,0.2,12.0,22.0
MTL,Lane Hutson,Michael Pezzetta,,0,11,Lane Hutson-Michael Pezzetta,,12.0,2.0
MTL,Michael Pezzetta,Mike Matheson,,0,12,Michael Pezzetta-Mike Matheson,-0.05,12.0,62.0
MTL,David Savard,Michael Pezzetta,,0,4,David Savard-Michael Pezzetta,-0.01,12.0,24.0
MTL,Jayden Struble,Michael Pezzetta,,0,3,Jayden Struble-Michael Pezzetta,,,
MTL,Arber Xhekaj,Michael Pezzetta,,0,1,Arber Xhekaj-Michael Pezzetta,-0.04,12.0,10.0
MTL,Jayden Struble,Justin Barron,,1,3,Jayden Struble-Justin Barron,,,
MTL,Arber Xhekaj,David Savard,,4,1,Arber Xhekaj-David Savard,0.12,24.0,10.0
NYR,Jimmy Vesey,Jonny Brodzinski,,2,2,Jimmy Vesey-Jonny Brodzinski,0.18,19.0,26.0
NYR,Jonny Brodzinski,K'Andre Miller,,2,2,Jonny Brodzinski-K'Andre Miller,-0.1,19.0,30.0
NYR,Chad Ruhwedel,Jonny Brodzinski,,2,0,Chad Ruhwedel-Jonny Brodzinski,,,
NYR,Chad Ruhwedel,Sam Carrick,,4,0,Chad Ruhwedel-Sam Carrick,,,
NYR,Chad Ruhwedel,Filip Chytil,,9,0,Chad Ruhwedel-Filip Chytil,,,
NYR,Chad Ruhwedel,Will Cuylle,,11,0,Chad Ruhwedel-Will Cuylle,,,
NYR,Adam Edstrom,Chad Ruhwedel,,2,0,Adam Edstrom-Chad Ruhwedel,,,
NYR,Chad Ruhwedel,Kaapo Kakko,,8,0,Chad Ruhwedel-Kaapo Kakko,,,
NYR,Chad Ruhwedel,Chris Kreider,,8,0,Chad Ruhwedel-Chris Kreider,,,
NYR,Alexis Lafrenière,Chad Ruhwedel,,13,0,Alexis Lafrenière-Chad Ruhwedel,,,
NYR,Artemi Panarin,Chad Ruhwedel,,23,0,Artemi Panarin-Chad Ruhwedel,,,
NYR,Chad Ruhwedel,Reilly Smith,,10,0,Chad Ruhwedel-Reilly Smith,,,
NYR,Chad Ruhwedel,Vincent Trocheck,,10,0,Chad Ruhwedel-Vincent Trocheck,,,
NYR,Jimmy Vesey,Ryan Lindgren,,2,1,Jimmy Vesey-Ryan Lindgren,-0.12,26.0,17.0
NYR,Jimmy Vesey,K'Andre Miller,,2,2,Jimmy Vesey-K'Andre Miller,0.12,26.0,30.0
NYR,Chad Ruhwedel,Jimmy Vesey,,2,0,Chad Ruhwedel-Jimmy Vesey,,,
NYR,Chad Ruhwedel,Mika Zibanejad,,12,0,Chad Ruhwedel-Mika Zibanejad,,,
NYR,Adam Fox,Chad Ruhwedel,,13,0,Adam Fox-Chad Ruhwedel,,,
NYR,Chad Ruhwedel,Zac Jones,,4,0,Chad Ruhwedel-Zac Jones,,,
NYR,K'Andre Miller,Ryan Lindgren,,1,2,K'Andre Miller-Ryan Lindgren,0.04,17.0,30.0
NYR,Chad Ruhwedel,Ryan Lindgren,,1,0,Chad Ruhwedel-Ryan Lindgren,,,
NYR,Chad Ruhwedel,K'Andre Miller,,2,0,Chad Ruhwedel-K'Andre Miller,,,
NYR,Braden Schneider,Chad Ruhwedel,,0,7,Braden Schneider-Chad Ruhwedel,,,
NYR,Chad Ruhwedel,Jacob Trouba,,0,5,Chad Ruhwedel-Jacob Trouba,,,
PIT,Matt Nieto,Noel Acciari,,5,0,Matt Nieto-Noel Acciari,0.5,7.0,4.0
PIT,Noel Acciari,Vasily Ponomarev,,5,0,Noel Acciari-Vasily Ponomarev,,,
PIT,Noel Acciari,Sam Poulin,,5,0,Noel Acciari-Sam Poulin,,,
PIT,Noel Acciari,Ryan Graves,,5,0,Noel Acciari-Ryan Graves,0.09,7.0,14.0
PIT,Noel Acciari,Owen Pickering,,5,1,Noel Acciari-Owen Pickering,,,
PIT,Noel Acciari,Ryan Shea,,5,0,Noel Acciari-Ryan Shea,,,
PIT,Anthony Beauvillier,Matt Nieto,,9,0,Anthony Beauvillier-Matt Nieto,,,
PIT,Anthony Beauvillier,Vasily Ponomarev,,9,0,Anthony Beauvillier-Vasily Ponomarev,,,
PIT,Anthony Beauvillier,Sam Poulin,,9,0,Anthony Beauvillier-Sam Poulin,,,
PIT,Anthony Beauvillier,Ryan Graves,,9,0,Anthony Beauvillier-Ryan Graves,,,
PIT,Anthony Beauvillier,Owen Pickering,,9,1,Anthony Beauvillier-Owen Pickering,,,
PIT,Anthony Beauvillier,Ryan Shea,,9,0,Anthony Beauvillier-Ryan Shea,,,
PIT,Matt Nieto,Michael Bunting,,6,0,Matt Nieto-Michael Bunting,,55.0,4.0
PIT,Michael Bunting,Vasily Ponomarev,,6,0,Michael Bunting-Vasily Ponomarev,,,
PIT,Michael Bunting,Sam Poulin,,6,0,Michael Bunting-Sam Poulin,,,
PIT,Michael Bunting,Ryan Graves,,6,0,Michael Bunting-Ryan Graves,0.32,55.0,14.0
PIT,Michael Bunting,Owen Pickering,,6,1,Michael Bunting-Owen Pickering,,,
PIT,Michael Bunting,Ryan Shea,,6,0,Michael Bunting-Ryan Shea,,,
PIT,Matt Nieto,Sidney Crosby,,19,0,Matt Nieto-Sidney Crosby,-0.21,94.0,4.0
PIT,Sidney Crosby,Vasily Ponomarev,,19,0,Sidney Crosby-Vasily Ponomarev,,,
PIT,Sam Poulin,Sidney Crosby,,19,0,Sam Poulin-Sidney Crosby,,,
PIT,Ryan Graves,Sidney Crosby,,19,0,Ryan Graves-Sidney Crosby,-0.12,94.0,14.0
PIT,Owen Pickering,Sidney Crosby,,19,1,Owen Pickering-Sidney Crosby,,,
PIT,Ryan Shea,Sidney Crosby,,19,0,Ryan Shea-Sidney Crosby,,,
PIT,Cody Glass,Matt Nieto,,4,0,Cody Glass-Matt Nieto,,,
PIT,Cody Glass,Vasily Ponomarev,,4,0,Cody Glass-Vasily Ponomarev,,,
PIT,Cody Glass,Sam Poulin,,4,0,Cody Glass-Sam Poulin,,,
PIT,Cody Glass,Ryan Graves,,4,0,Cody Glass-Ryan Graves,,,
PIT,Cody Glass,Owen Pickering,,4,1,Cody Glass-Owen Pickering,,,
PIT,Cody Glass,Ryan Shea,,4,0,Cody Glass-Ryan Shea,,,
PIT,Cody Glass,Jack St. Ivany,,4,1,Cody Glass-Jack St. Ivany,,,
PIT,Blake Lizotte,Kevin Hayes,,4,2,Blake Lizotte-Kevin Hayes,,,
PIT,Kevin Hayes,Matt Nieto,,4,0,Kevin Hayes-Matt Nieto,,,
PIT,Kevin Hayes,Vasily Ponomarev,,4,0,Kevin Hayes-Vasily Ponomarev,,,
PIT,Kevin Hayes,Sam Poulin,,4,0,Kevin Hayes-Sam Poulin,,,
PIT,Kevin Hayes,Ryan Graves,,4,0,Kevin Hayes-Ryan Graves,,,
PIT,Kevin Hayes,Owen Pickering,,4,1,Kevin Hayes-Owen Pickering,,,
PIT,Kevin Hayes,Ryan Shea,,4,0,Kevin Hayes-Ryan Shea,,,
PIT,Jack St. Ivany,Kevin Hayes,,4,1,Jack St. Ivany-Kevin Hayes,,,
PIT,Blake Lizotte,Matt Nieto,,2,0,Blake Lizotte-Matt Nieto,,,
PIT,Blake Lizotte,Drew O'Connor,,2,6,Blake Lizotte-Drew O'Connor,,,
PIT,Blake Lizotte,Vasily Ponomarev,,2,0,Blake Lizotte-Vasily Ponomarev,,,
PIT,Blake Lizotte,Sam Poulin,,2,0,Blake Lizotte-Sam Poulin,,,
PIT,Blake Lizotte,Bryan Rust,,2,7,Blake Lizotte-Bryan Rust,,,
PIT,Blake Lizotte,Ryan Graves,,2,0,Blake Lizotte-Ryan Graves,,,
PIT,Blake Lizotte,Owen Pickering,,2,1,Blake Lizotte-Owen Pickering,,,
PIT,Blake Lizotte,Ryan Shea,,2,0,Blake Lizotte-Ryan Shea,,,
PIT,Evgeni Malkin,Matt Nieto,,19,0,Evgeni Malkin-Matt Nieto,0.04,67.0,4.0
PIT,Evgeni Malkin,Vasily Ponomarev,,19,0,Evgeni Malkin-Vasily Ponomarev,,,
PIT,Evgeni Malkin,Sam Poulin,,19,0,Evgeni Malkin-Sam Poulin,,,
PIT,Evgeni Malkin,Ryan Graves,,19,0,Evgeni Malkin-Ryan Graves,0.25,67.0,14.0
PIT,Evgeni Malkin,Owen Pickering,,19,1,Evgeni Malkin-Owen Pickering,,,
PIT,Evgeni Malkin,Ryan Shea,,19,0,Evgeni Malkin-Ryan Shea,,,
PIT,Drew O'Connor,Matt Nieto,,0,6,Drew O'Connor-Matt Nieto,0.24,4.0,33.0
PIT,Matt Nieto,Vasily Ponomarev,,0,0,Matt Nieto-Vasily Ponomarev,,,
PIT,Matt Nieto,Sam Poulin,,0,0,Matt Nieto-Sam Poulin,,,
PIT,Jesse Puljujarvi,Matt Nieto,,0,7,Jesse Puljujarvi-Matt Nieto,,4.0,4.0
PIT,Matt Nieto,Valtteri Puustinen,,0,2,Matt Nieto-Valtteri Puustinen,,,
PIT,Matt Nieto,Rickard Rakell,,0,11,Matt Nieto-Rickard Rakell,0.51,4.0,37.0
PIT,Bryan Rust,Matt Nieto,,0,7,Bryan Rust-Matt Nieto,0.2,4.0,56.0
PIT,Matt Nieto,Ryan Graves,,0,0,Matt Nieto-Ryan Graves,0.02,4.0,14.0
PIT,Matt Grzelcyk,Matt Nieto,,0,7,Matt Grzelcyk-Matt Nieto,,,
PIT,Erik Karlsson,Matt Nieto,,0,11,Erik Karlsson-Matt Nieto,-0.16,4.0,56.0
PIT,Kris Letang,Matt Nieto,,0,6,Kris Letang-Matt Nieto,0.17,4.0,51.0
PIT,Marcus Pettersson,Matt Nieto,,0,8,Marcus Pettersson-Matt Nieto,0.31,4.0,30.0
PIT,Matt Nieto,Owen Pickering,,0,1,Matt Nieto-Owen Pickering,,,
PIT,Matt Nieto,Ryan Shea,,0,0,Matt Nieto-Ryan Shea,,,
PIT,Jack St. Ivany,Matt Nieto,,0,1,Jack St. Ivany-Matt Nieto,,,
PIT,Lars Eller,Matt Nieto,,0,7,Lars Eller-Matt Nieto,-0.11,31.0,4.0
PIT,Drew O'Connor,Vasily Ponomarev,,6,0,Drew O'Connor-Vasily Ponomarev,,,
PIT,Drew O'Connor,Sam Poulin,,6,0,Drew O'Connor-Sam Poulin,,,
PIT,Drew O'Connor,Ryan Graves,,6,0,Drew O'Connor-Ryan Graves,0.13,33.0,14.0
PIT,Drew O'Connor,Owen Pickering,,6,1,Drew O'Connor-Owen Pickering,,,
PIT,Drew O'Connor,Ryan Shea,,6,0,Drew O'Connor-Ryan Shea,,,
PIT,Sam Poulin,Vasily Ponomarev,,0,0,Sam Poulin-Vasily Ponomarev,,,
PIT,Jesse Puljujarvi,Vasily Ponomarev,,0,7,Jesse Puljujarvi-Vasily Ponomarev,,,
PIT,Valtteri Puustinen,Vasily Ponomarev,,0,2,Valtteri Puustinen-Vasily Ponomarev,,,
PIT,Rickard Rakell,Vasily Ponomarev,,0,11,Rickard Rakell-Vasily Ponomarev,,,
PIT,Bryan Rust,Vasily Ponomarev,,0,7,Bryan Rust-Vasily Ponomarev,,,
PIT,Ryan Graves,Vasily Ponomarev,,0,0,Ryan Graves-Vasily Ponomarev,,,
PIT,Matt Grzelcyk,Vasily Ponomarev,,0,7,Matt Grzelcyk-Vasily Ponomarev,,,
PIT,Erik Karlsson,Vasily Ponomarev,,0,11,Erik Karlsson-Vasily Ponomarev,,,
PIT,Kris Letang,Vasily Ponomarev,,0,6,Kris Letang-Vasily Ponomarev,,,
PIT,Marcus Pettersson,Vasily Ponomarev,,0,8,Marcus Pettersson-Vasily Ponomarev,,,
PIT,Owen Pickering,Vasily Ponomarev,,0,1,Owen Pickering-Vasily Ponomarev,,,
PIT,Ryan Shea,Vasily Ponomarev,,0,0,Ryan Shea-Vasily Ponomarev,,,
PIT,Jack St. Ivany,Vasily Ponomarev,,0,1,Jack St. Ivany-Vasily Ponomarev,,,
PIT,Lars Eller,Vasily Ponomarev,,0,7,Lars Eller-Vasily Ponomarev,,,
PIT,Jesse Puljujarvi,Sam Poulin,,0,7,Jesse Puljujarvi-Sam Poulin,,,
PIT,Sam Poulin,Valtteri Puustinen,,0,2,Sam Poulin-Valtteri Puustinen,,,
PIT,Rickard Rakell,Sam Poulin,,0,11,Rickard Rakell-Sam Poulin,,,
PIT,Bryan Rust,Sam Poulin,,0,7,Bryan Rust-Sam Poulin,,,
PIT,Ryan Graves,Sam Poulin,,0,0,Ryan Graves-Sam Poulin,,,
PIT,Matt Grzelcyk,Sam Poulin,,0,7,Matt Grzelcyk-Sam Poulin,,,
PIT,Erik Karlsson,Sam Poulin,,0,11,Erik Karlsson-Sam Poulin,,,
PIT,Kris Letang,Sam Poulin,,0,6,Kris Letang-Sam Poulin,,,
PIT,Marcus Pettersson,Sam Poulin,,0,8,Marcus Pettersson-Sam Poulin,,,
PIT,Owen Pickering,Sam Poulin,,0,1,Owen Pickering-Sam Poulin,,,
PIT,Ryan Shea,Sam Poulin,,0,0,Ryan Shea-Sam Poulin,,,
PIT,Jack St. Ivany,Sam Poulin,,0,1,Jack St. Ivany-Sam Poulin,,,
PIT,Lars Eller,Sam Poulin,,0,7,Lars Eller-Sam Poulin,,,
PIT,Jesse Puljujarvi,Ryan Graves,,7,0,Jesse Puljujarvi-Ryan Graves,0.57,4.0,14.0
PIT,Jesse Puljujarvi,Owen Pickering,,7,1,Jesse Puljujarvi-Owen Pickering,,,
PIT,Jesse Puljujarvi,Ryan Shea,,7,0,Jesse Puljujarvi-Ryan Shea,,,
PIT,Ryan Graves,Valtteri Puustinen,,2,0,Ryan Graves-Valtteri Puustinen,,,
PIT,Owen Pickering,Valtteri Puustinen,,2,1,Owen Pickering-Valtteri Puustinen,,,
PIT,Ryan Shea,Valtteri Puustinen,,2,0,Ryan Shea-Valtteri Puustinen,,,
PIT,Rickard Rakell,Ryan Graves,,11,0,Rickard Rakell-Ryan Graves,-0.09,37.0,14.0
PIT,Owen Pickering,Rickard Rakell,,11,1,Owen Pickering-Rickard Rakell,,,
PIT,Rickard Rakell,Ryan Shea,,11,0,Rickard Rakell-Ryan Shea,,,
PIT,Bryan Rust,Ryan Graves,,7,0,Bryan Rust-Ryan Graves,-0.13,56.0,14.0
PIT,Bryan Rust,Owen Pickering,,7,1,Bryan Rust-Owen Pickering,,,
PIT,Bryan Rust,Ryan Shea,,7,0,Bryan Rust-Ryan Shea,,,
PIT,Matt Grzelcyk,Ryan Graves,,0,7,Matt Grzelcyk-Ryan Graves,,,
PIT,Erik Karlsson,Ryan Graves,,0,11,Erik Karlsson-Ryan Graves,0.2,14.0,56.0
PIT,Kris Letang,Ryan Graves,,0,6,Kris Letang-Ryan Graves,-0.01,14.0,51.0
PIT,Marcus Pettersson,Ryan Graves,,0,8,Marcus Pettersson-Ryan Graves,-0.05,14.0,30.0
PIT,Owen Pickering,Ryan Graves,,0,1,Owen Pickering-Ryan Graves,,,
PIT,Ryan Graves,Ryan Shea,,0,0,Ryan Graves-Ryan Shea,,,
PIT,Jack St. Ivany,Ryan Graves,,0,1,Jack St. Ivany-Ryan Graves,,,
PIT,Lars Eller,Ryan Graves,,0,7,Lars Eller-Ryan Graves,0.13,31.0,14.0
PIT,Matt Grzelcyk,Owen Pickering,,7,1,Matt Grzelcyk-Owen Pickering,,,
PIT,Matt Grzelcyk,Ryan Shea,,7,0,Matt Grzelcyk-Ryan Shea,,,
PIT,Erik Karlsson,Owen Pickering,,11,1,Erik Karlsson-Owen Pickering,,,
PIT,Erik Karlsson,Ryan Shea,,11,0,Erik Karlsson-Ryan Shea,,,
PIT,Kris Letang,Owen Pickering,,6,1,Kris Letang-Owen Pickering,,,
PIT,Kris Letang,Ryan Shea,,6,0,Kris Letang-Ryan Shea,,,
PIT,Marcus Pettersson,Owen Pickering,,8,1,Marcus Pettersson-Owen Pickering,,,
PIT,Marcus Pettersson,Ryan Shea,,8,0,Marcus Pettersson-Ryan Shea,,,
PIT,Owen Pickering,Ryan Shea,,1,0,Owen Pickering-Ryan Shea,,,
PIT,Jack St. Ivany,Owen Pickering,,1,1,Jack St. Ivany-Owen Pickering,,,
PIT,Lars Eller,Owen Pickering,,1,7,Lars Eller-Owen Pickering,,,
PIT,Jack St. Ivany,Ryan Shea,,0,1,Jack St. Ivany-Ryan Shea,,,
PIT,Lars Eller,Ryan Shea,,0,7,Lars Eller-Ryan Shea,,,
TOR,Connor Dewar,Timothy Liljegren,,1,0,Connor Dewar-Timothy Liljegren,0.04,19.0,23.0
TOR,Max Domi,Timothy Liljegren,,1,6,Max Domi-Timothy Liljegren,,,
TOR,Pontus Holmberg,Timothy Liljegren,,1,2,Pontus Holmberg-Timothy Liljegren,0.16,17.0,23.0
TOR,David Kampf,Timothy Liljegren,,1,3,David Kampf-Timothy Liljegren,-0.01,19.0,23.0
TOR,Matthew Knies,Timothy Liljegren,,1,12,Matthew Knies-Timothy Liljegren,0.06,35.0,23.0
TOR,Steven Lorentz,Timothy Liljegren,,1,4,Steven Lorentz-Timothy Liljegren,,,
TOR,Mitch Marner,Timothy Liljegren,,1,24,Mitch Marner-Timothy Liljegren,0.19,85.0,23.0
TOR,Auston Matthews,Timothy Liljegren,,1,11,Auston Matthews-Timothy Liljegren,0.3,107.0,23.0
TOR,Bobby McMann,Timothy Liljegren,,1,7,Bobby McMann-Timothy Liljegren,0.36,24.0,23.0
TOR,Timothy Liljegren,William Nylander,,1,20,Timothy Liljegren-William Nylander,0.28,98.0,23.0
TOR,Max Pacioretty,Timothy Liljegren,,1,6,Max Pacioretty-Timothy Liljegren,,,
TOR,Ryan Reaves,Timothy Liljegren,,1,1,Ryan Reaves-Timothy Liljegren,-0.14,6.0,23.0
TOR,Nicholas Robertson,Timothy Liljegren,,1,1,Nicholas Robertson-Timothy Liljegren,0.33,27.0,23.0
TOR,Alex Steeves,Timothy Liljegren,,1,0,Alex Steeves-Timothy Liljegren,,0.0,23.0
TOR,John Tavares,Timothy Liljegren,,1,17,John Tavares-Timothy Liljegren,-0.01,65.0,23.0
TOR,Simon Benoit,Timothy Liljegren,,1,2,Simon Benoit-Timothy Liljegren,-0.09,5.0,23.0
TOR,Oliver Ekman-Larsson,Timothy Liljegren,,1,7,Oliver Ekman-Larsson-Timothy Liljegren,,,
TOR,Jani Hakanpää,Timothy Liljegren,,1,0,Jani Hakanpää-Timothy Liljegren,,,
TOR,Jake McCabe,Timothy Liljegren,,1,5,Jake McCabe-Timothy Liljegren,0.21,23.0,28.0
TOR,Philippe Myers,Timothy Liljegren,,1,0,Philippe Myers-Timothy Liljegren,,,
TOR,Morgan Rielly,Timothy Liljegren,,1,13,Morgan Rielly-Timothy Liljegren,0.14,23.0,58.0
TOR,Chris Tanev,Timothy Liljegren,,1,3,Chris Tanev-Timothy Liljegren,,,
TOR,Conor Timmins,Timothy Liljegren,,1,4,Conor Timmins-Timothy Liljegren,-0.41,23.0,10.0
TOR,Connor Dewar,Max Domi,,0,6,Connor Dewar-Max Domi,,,
TOR,Connor Dewar,Pontus Holmberg,,0,2,Connor Dewar-Pontus Holmberg,0.34,19.0,17.0
TOR,Connor Dewar,David Kampf,,0,3,Connor Dewar-David Kampf,0.79,19.0,19.0
TOR,Connor Dewar,Matthew Knies,,0,12,Connor Dewar-Matthew Knies,-0.11,19.0,35.0
TOR,Connor Dewar,Steven Lorentz,,0,4,Connor Dewar-Steven Lorentz,,,
TOR,Connor Dewar,Mitch Marner,,0,24,Connor Dewar-Mitch Marner,-0.4,19.0,85.0
TOR,Auston Matthews,Connor Dewar,,0,11,Auston Matthews-Connor Dewar,-0.17,19.0,107.0
TOR,Bobby McMann,Connor Dewar,,0,7,Bobby McMann-Connor Dewar,-0.08,19.0,24.0
TOR,Connor Dewar,William Nylander,,0,20,Connor Dewar-William Nylander,0.02,19.0,98.0
TOR,Connor Dewar,Max Pacioretty,,0,6,Connor Dewar-Max Pacioretty,,,
TOR,Connor Dewar,Ryan Reaves,,0,1,Connor Dewar-Ryan Reaves,0.84,19.0,6.0
TOR,Connor Dewar,Nicholas Robertson,,0,1,Connor Dewar-Nicholas Robertson,0.03,19.0,27.0
TOR,Alex Steeves,Connor Dewar,,0,0,Alex Steeves-Connor Dewar,,19.0,0.0
TOR,Connor Dewar,John Tavares,,0,17,Connor Dewar-John Tavares,-0.06,19.0,65.0
TOR,Connor Dewar,Simon Benoit,,0,2,Connor Dewar-Simon Benoit,0.33,19.0,5.0
TOR,Connor Dewar,Oliver Ekman-Larsson,,0,7,Connor Dewar-Oliver Ekman-Larsson,,,
TOR,Connor Dewar,Jani Hakanpää,,0,0,Connor Dewar-Jani Hakanpää,,,
TOR,Connor Dewar,Jake McCabe,,0,5,Connor Dewar-Jake McCabe,0.21,19.0,28.0
TOR,Connor Dewar,Philippe Myers,,0,0,Connor Dewar-Philippe Myers,,,
TOR,Connor Dewar,Morgan Rielly,,0,13,Connor Dewar-Morgan Rielly,0.13,19.0,58.0
TOR,Chris Tanev,Connor Dewar,,0,3,Chris Tanev-Connor Dewar,,,
TOR,Connor Dewar,Conor Timmins,,0,4,Connor Dewar-Conor Timmins,0.13,19.0,10.0
TOR,Alex Steeves,Max Domi,,6,0,Alex Steeves-Max Domi,,,
TOR,Jani Hakanpää,Max Domi,,6,0,Jani Hakanpää-Max Domi,,,
TOR,Max Domi,Philippe Myers,,6,0,Max Domi-Philippe Myers,,,
TOR,Alex Steeves,Pontus Holmberg,,2,0,Alex Steeves-Pontus Holmberg,,17.0,0.0
TOR,Jani Hakanpää,Pontus Holmberg,,2,0,Jani Hakanpää-Pontus Holmberg,,,
TOR,Philippe Myers,Pontus Holmberg,,2,0,Philippe Myers-Pontus Holmberg,,,
TOR,David Kampf,Nicholas Robertson,,3,1,David Kampf-Nicholas Robertson,0.19,19.0,27.0
TOR,Alex Steeves,David Kampf,,3,0,Alex Steeves-David Kampf,,19.0,0.0
TOR,David Kampf,Jani Hakanpää,,3,0,David Kampf-Jani Hakanpää,,,
TOR,David Kampf,Philippe Myers,,3,0,David Kampf-Philippe Myers,,,
TOR,Alex Steeves,Matthew Knies,,12,0,Alex Steeves-Matthew Knies,,35.0,0.0
TOR,Jani Hakanpää,Matthew Knies,,12,0,Jani Hakanpää-Matthew Knies,,,
TOR,Matthew Knies,Philippe Myers,,12,0,Matthew Knies-Philippe Myers,,,
TOR,Alex Steeves,Steven Lorentz,,4,0,Alex Steeves-Steven Lorentz,,,
TOR,Jani Hakanpää,Steven Lorentz,,4,0,Jani Hakanpää-Steven Lorentz,,,
TOR,Philippe Myers,Steven Lorentz,,4,0,Philippe Myers-Steven Lorentz,,,
TOR,Alex Steeves,Mitch Marner,,24,0,Alex Steeves-Mitch Marner,,85.0,0.0
TOR,Jani Hakanpää,Mitch Marner,,24,0,Jani Hakanpää-Mitch Marner,,,
TOR,Mitch Marner,Philippe Myers,,24,0,Mitch Marner-Philippe Myers,,,
TOR,Auston Matthews,Ryan Reaves,,11,1,Auston Matthews-Ryan Reaves,-0.25,107.0,6.0
TOR,Alex Steeves,Auston Matthews,,11,0,Alex Steeves-Auston Matthews,,107.0,0.0
TOR,Auston Matthews,Jani Hakanpää,,11,0,Auston Matthews-Jani Hakanpää,,,
TOR,Auston Matthews,Philippe Myers,,11,0,Auston Matthews-Philippe Myers,,,
TOR,Alex Steeves,Bobby McMann,,7,0,Alex Steeves-Bobby McMann,,24.0,0.0
TOR,Bobby McMann,Jani Hakanpää,,7,0,Bobby McMann-Jani Hakanpää,,,
TOR,Bobby McMann,Philippe Myers,,7,0,Bobby McMann-Philippe Myers,,,
TOR,Alex Steeves,William Nylander,,20,0,Alex Steeves-William Nylander,,98.0,0.0
TOR,Jani Hakanpää,William Nylander,,20,0,Jani Hakanpää-William Nylander,,,
TOR,Philippe Myers,William Nylander,,20,0,Philippe Myers-William Nylander,,,
TOR,Alex Steeves,Max Pacioretty,,6,0,Alex Steeves-Max Pacioretty,,,
TOR,Jani Hakanpää,Max Pacioretty,,6,0,Jani Hakanpää-Max Pacioretty,,,
TOR,Max Pacioretty,Philippe Myers,,6,0,Max Pacioretty-Philippe Myers,,,
TOR,Alex Steeves,Ryan Reaves,,1,0,Alex Steeves-Ryan Reaves,,6.0,0.0
TOR,Jani Hakanpää,Ryan Reaves,,1,0,Jani Hakanpää-Ryan Reaves,,,
TOR,Philippe Myers,Ryan Reaves,,1,0,Philippe Myers-Ryan Reaves,,,
TOR,Alex Steeves,Nicholas Robertson,,1,0,Alex Steeves-Nicholas Robertson,,27.0,0.0
TOR,Jani Hakanpää,Nicholas Robertson,,1,0,Jani Hakanpää-Nicholas Robertson,,,
TOR,Nicholas Robertson,Philippe Myers,,1,0,Nicholas Robertson-Philippe Myers,,,
TOR,Alex Steeves,John Tavares,,0,17,Alex Steeves-John Tavares,,0.0,65.0
TOR,Alex Steeves,Simon Benoit,,0,2,Alex Steeves-Simon Benoit,,0.0,5.0
TOR,Alex Steeves,Oliver Ekman-Larsson,,0,7,Alex Steeves-Oliver Ekman-Larsson,,,
TOR,Alex Steeves,Jani Hakanpää,,0,0,Alex Steeves-Jani Hakanpää,,,
TOR,Alex Steeves,Jake McCabe,,0,5,Alex Steeves-Jake McCabe,,0.0,28.0
TOR,Alex Steeves,Philippe Myers,,0,0,Alex Steeves-Philippe Myers,,,
TOR,Alex Steeves,Morgan Rielly,,0,13,Alex Steeves-Morgan Rielly,,0.0,58.0
TOR,Alex Steeves,Chris Tanev,,0,3,Alex Steeves-Chris Tanev,,,
TOR,Alex Steeves,Conor Timmins,,0,4,Alex Steeves-Conor Timmins,,0.0,10.0
TOR,Jani Hakanpää,John Tavares,,17,0,Jani Hakanpää-John Tavares,,,
TOR,John Tavares,Philippe Myers,,17,0,John Tavares-Philippe Myers,,,
TOR,Jani Hakanpää,Simon Benoit,,2,0,Jani Hakanpää-Simon Benoit,,,
