Team,Player A,Player B,Correlation,Total Points A,Total Points B,pair_id
ANA,Cutter Gauthier,Jackson LaCombe,0.88,4,1,Cutter Gauthier-Jackson LaCombe
LAK,Brandt Clarke,Kyle Burroughs,0.88,1,12,Brandt Clarke-Kyle Burroughs
FLA,Aleksander Barkov,Mackie Samoskevich,0.88,8,3,Aleksander Barkov-Mackie Samoskevich
PHI,Nick Seeler,Noah Cates,0.88,1,3,Nick Seeler-Noah Cates
TOR,John Tavares,Max Pacioretty,0.88,6,11,John Tavares-Max Pacioretty
FLA,Evan Rodrigues,Jonah Gadjovich,0.88,1,6,Evan Rodrigues-Jonah Gadjovich
PHI,Nick Seeler,Rasmus Ristolainen,0.88,2,3,Nick Seeler-Rasmus Ristolainen
LAK,Andreas Englund,Vladislav Gavrikov,0.88,1,5,Andreas Englund-Vladislav Gavrikov
STL,Mathieu Joseph,Pierre-Olivier Joseph,0.88,4,1,Mathieu Joseph-Pierre-Olivier Joseph
SJS,Henry Thrun,Jake Walman,0.87,1,9,Henry Thrun-Jake Walman
VGK,Noah Hanifin,Victor Olofsson,0.87,3,8,Noah Hanifin-Victor Olofsson
VGK,Alex Pietrangelo,William Karlsson,0.87,6,12,Alex Pietrangelo-William Karlsson
VAN,Aatu Raty,J.T. Miller,0.87,10,1,Aatu Raty-J.T. Miller
NJD,Dawson Mercer,Justin Dowling,0.87,1,8,Dawson Mercer-Justin Dowling
NYI,Dennis Cholowski,Maxim Tsyplakov,0.87,8,1,Dennis Cholowski-Maxim Tsyplakov
CHI,Teuvo Teravainen,Wyatt Kaiser,0.87,8,1,Teuvo Teravainen-Wyatt Kaiser
VGK,Brayden McNabb,Victor Olofsson,0.87,3,2,Brayden McNabb-Victor Olofsson
VGK,Victor Olofsson,Zach Whitecloud,0.87,3,1,Victor Olofsson-Zach Whitecloud
DAL,Jason Robertson,Roope Hintz,0.87,8,7,Jason Robertson-Roope Hintz
SEA,Chandler Stephenson,Jamie Oleksiak,0.87,9,4,Chandler Stephenson-Jamie Oleksiak
COL,Cale Makar,John Ludvig,0.87,1,23,Cale Makar-John Ludvig
SEA,Jaden Schwartz,Jamie Oleksiak,0.87,8,4,Jaden Schwartz-Jamie Oleksiak
VGK,Tanner Pearson,Victor Olofsson,0.87,3,7,Tanner Pearson-Victor Olofsson
SEA,Brandon Montour,Jaden Schwartz,0.86,8,10,Brandon Montour-Jaden Schwartz
VAN,Daniel Sprong,J.T. Miller,0.86,3,10,Daniel Sprong-J.T. Miller
TBL,Anthony Cirelli,Brandon Hagel,0.85,13,14,Anthony Cirelli-Brandon Hagel
VGK,Mark Stone,Victor Olofsson,0.85,3,21,Mark Stone-Victor Olofsson
BOS,Brandon Carlo,Cole Koepke,0.85,7,3,Brandon Carlo-Cole Koepke
UTA,Dylan Guenther,Mikhail Sergachev,0.85,10,9,Dylan Guenther-Mikhail Sergachev
MIN,Joel Eriksson Ek,Jonas Brodin,0.84,7,5,Joel Eriksson Ek-Jonas Brodin
EDM,Vasily Podkolzin,Zach Hyman,0.84,5,3,Vasily Podkolzin-Zach Hyman
TOR,David Kampf,Steven Lorentz,0.84,2,4,David Kampf-Steven Lorentz
BOS,Andrew Peeke,Hampus Lindholm,0.84,5,2,Andrew Peeke-Hampus Lindholm
FLA,Aleksander Barkov,Sam Reinhart,0.84,8,21,Aleksander Barkov-Sam Reinhart
STL,Colton Parayko,Ryan Suter,0.84,8,4,Colton Parayko-Ryan Suter
LAK,Andre Lee,Trevor Lewis,0.83,2,5,Andre Lee-Trevor Lewis
FLA,Aaron Ekblad,Aleksander Barkov,0.83,8,6,Aaron Ekblad-Aleksander Barkov
CBJ,Cole Sillinger,Mikael Pyyhtia,0.83,1,8,Cole Sillinger-Mikael Pyyhtia
CBJ,Mathieu Olivier,Zach Werenski,0.83,6,9,Mathieu Olivier-Zach Werenski
UTA,Matias Maccelli,Vladislav Kolyachonok,0.83,6,4,Matias Maccelli-Vladislav Kolyachonok
NYR,Filip Chytil,Kaapo Kakko,0.83,8,7,Filip Chytil-Kaapo Kakko
VAN,Erik Brannstrom,Kiefer Sherwood,0.83,7,2,Erik Brannstrom-Kiefer Sherwood
OTT,Adam Gaudette,Zack Ostapchuk,0.82,7,1,Adam Gaudette-Zack Ostapchuk
CHI,Seth Jones,Wyatt Kaiser,0.82,9,1,Seth Jones-Wyatt Kaiser
NYI,Adam Pelech,Alexander Romanov,0.82,4,2,Adam Pelech-Alexander Romanov
STL,Jordan Kyrou,Justin Faulk,0.82,11,5,Jordan Kyrou-Justin Faulk
OTT,Nick Cousins,Tyler Kleven,0.81,4,1,Nick Cousins-Tyler Kleven
STL,Mathieu Joseph,Zack Bolduc,0.81,4,4,Mathieu Joseph-Zack Bolduc
NYR,Jonny Brodzinski,Will Cuylle,0.81,2,8,Jonny Brodzinski-Will Cuylle
TOR,Pontus Holmberg,Steven Lorentz,0.81,1,4,Pontus Holmberg-Steven Lorentz
BUF,Henri Jokiharju,Jordan Greenway,0.81,5,3,Henri Jokiharju-Jordan Greenway
CHI,Connor Bedard,Teuvo Teravainen,0.8,12,8,Connor Bedard-Teuvo Teravainen
CHI,Jason Dickinson,Ryan Donato,0.8,4,9,Jason Dickinson-Ryan Donato
VAN,Danton Heinen,Quinn Hughes,0.8,6,12,Danton Heinen-Quinn Hughes
NYI,Adam Pelech,Scott Mayfield,0.8,1,4,Adam Pelech-Scott Mayfield
UTA,Logan Cooley,Nick Bjugstad,0.8,2,10,Logan Cooley-Nick Bjugstad
NSH,Marc Del Gaizo,Steven Stamkos,0.8,6,1,Marc Del Gaizo-Steven Stamkos
STL,Jake Neighbours,Kasperi Kapanen,0.8,1,5,Jake Neighbours-Kasperi Kapanen
BOS,Brandon Carlo,Mason Lohrei,0.8,3,4,Brandon Carlo-Mason Lohrei
WPG,Logan Stanley,Vladislav Namestnikov,0.8,9,3,Logan Stanley-Vladislav Namestnikov
PIT,Bryan Rust,Sidney Crosby,0.8,15,4,Bryan Rust-Sidney Crosby
MTL,Josh Anderson,Kaiden Guhle,0.8,5,4,Josh Anderson-Kaiden Guhle
VGK,Tomas Hertl,William Karlsson,0.8,12,6,Tomas Hertl-William Karlsson
STL,Nathan Walker,Robert Thomas,0.8,6,3,Nathan Walker-Robert Thomas
STL,Alexey Toropchenko,Robert Thomas,0.8,6,2,Alexey Toropchenko-Robert Thomas
STL,Alexandre Texier,Dylan Holloway,0.79,6,3,Alexandre Texier-Dylan Holloway
WSH,Brandon Duhaime,Jakub Vrana,0.79,4,4,Brandon Duhaime-Jakub Vrana
PIT,Rickard Rakell,Valtteri Puustinen,0.79,1,11,Rickard Rakell-Valtteri Puustinen
NYI,Kyle Palmieri,Ryan Pulock,0.78,11,4,Kyle Palmieri-Ryan Pulock
BOS,Brandon Carlo,Mark Kastelic,0.78,7,3,Brandon Carlo-Mark Kastelic
VAN,Danton Heinen,Kiefer Sherwood,0.78,6,7,Danton Heinen-Kiefer Sherwood
PHI,Nick Seeler,Sean Couturier,0.78,8,3,Nick Seeler-Sean Couturier
OTT,Jake Sanderson,Shane Pinto,0.78,3,8,Jake Sanderson-Shane Pinto
SEA,Brandon Tanev,Yanni Gourde,0.78,3,2,Brandon Tanev-Yanni Gourde
CAR,Andrei Svechnikov,Jack Roslovic,0.78,7,12,Andrei Svechnikov-Jack Roslovic
NYI,Bo Horvat,Jean-Gabriel Pageau,0.78,9,5,Bo Horvat-Jean-Gabriel Pageau
COL,Josh Manson,Samuel Girard,0.78,6,5,Josh Manson-Samuel Girard
BUF,Connor Clifton,Peyton Krebs,0.77,3,2,Connor Clifton-Peyton Krebs
PHI,Owen Tippett,Travis Konecny,0.77,14,8,Owen Tippett-Travis Konecny
TOR,Max Pacioretty,Oliver Ekman-Larsson,0.77,6,6,Max Pacioretty-Oliver Ekman-Larsson
TOR,Conor Timmins,David Kampf,0.77,2,3,Conor Timmins-David Kampf
BUF,Beck Malenstyn,Peyton Krebs,0.77,3,2,Beck Malenstyn-Peyton Krebs
CGY,Connor Zary,Jake Bean,0.77,8,3,Connor Zary-Jake Bean
CHI,Connor Bedard,TJ Brodie,0.77,12,2,Connor Bedard-TJ Brodie
CHI,Craig Smith,Lukas Reichel,0.77,6,6,Craig Smith-Lukas Reichel
WPG,Adam Lowry,Mason Appleton,0.77,10,11,Adam Lowry-Mason Appleton
TOR,Bobby McMann,Conor Timmins,0.77,4,3,Bobby McMann-Conor Timmins
